title,lyrics
Sour Milk Sea (Esher Demo)," Hold up One, two, three, four  If your life's not right, doesn't satisfy you Don't get the breaks like some of us do Better work it out, find where you've gone wrong Better do it soon as you don't have long  Get out of Sour Milk Sea You don't belong there Get back to where you should be Find out what's going on there  If you want the most from everything you do In the shortest time your dreams come true In no time at all it makes you more aware Very simple process takes you there  Get out of Sour Milk Sea You don't belong there Get back to where you should be Find out what's going on there  Looking for release from limitation There's nothing much without illumination Can fool around with every different cult There's only one way brings results  Get out of Sour Milk Sea You don't belong there Get back to where you should be Find out what's going on there Get out of Sour Milk Sea You don't belong there Get back to where you should be Find out what's going on thereEmbed"
Stand By Me,"When the night has come And the land is dark And the moon is the only light we see No I won't be afraid No I won't be afraid Just as long as you stand Stand by me  So darling, darling stand by me Oh, stand by me Oh, stand by, oh stand, stand by me If the sky that we look upon Should tumble and fall Or the mountain should crumble to the sea I won't cry, I won't cry No I won't shed a tear Just as long as you stand, stand by me  Whenever you're in trouble would you stand by me? Oh, stand by Oh, stand by, oh stand, stand by me Embed"
Step Inside Love,"Step inside love and stay Step inside love Step inside love Step inside love I want you to stay You look tired, love Let me turn down the light Come in out of the cold Rest your head on my shoulder And kiss me tonight We are together now And forever, come my way Step inside love and stay Step inside love Step inside love Step inside love I want you to stay Joe Prairies and the Prairie Wallflowers Los Paranoias Los Paranoias invites you to To just enjoy us Come on you can do With baby Come on and join Los Paranoias Just enjoy us Los Paranoias Los Paranoias Come on and enjoy us Harmony Los Paranoias Come on and enjoy us We're Los Paranoias We're here to sing for you And whatever you want us to We will sing a little song for youEmbed"
Step Inside Love / Los Paranoias," Step inside love and stay Step inside love Step inside love Step inside love I want you to stay  You look tired, love Let me turn down the light Come in out of the cold Rest your head on my shoulder And kiss me goodnight We are together Now and forever, come my way   (Joe Prairies and the Prairie Wallflowers Los Paranoias Ha ha!)  Los Paranoias Invites you to (I can't take it!) To just enjoy us (I can't take it!) Come on you can (I can't take it!) do it Baby, come on and join the Los Paranoias Just enjoy us Los Paranoias Oh! Los Paranoias! Come on and join us Harmony Los Paranoias Come on and join us We're the Los Paranoias  We're here to sing for you And what if you want us to We will sing a little song for you  Los ParanoiasEmbed"
Step Inside Love (Studio Jam),"Step inside love and stay Step inside love Step inside love Step inside love I want you to stay You look tired love Let me turn down the light Come in out of the cold Rest your head On my shoulder And kiss me goodnight We are together Now and forever Come my way Step inside love And stay Step inside love Step inside love Step inside love I want you to stay Do-do-do-do, do-da-da-n'da-da Da-da-da-n'da-da, da-da-da-da-da-da N'da-da-da-da Joel Prairies and the Prairie Wallflowers Los Paranoias! OkEmbed"
St. Louis Blues (Studio Jam),"Well, know I hate to see the evening sun go I hate to see the evening sun go down Yeah, I hate to see the evening sun go Hate to see the evening sun go down Well, baby and me We hate to see the yeah yeah yeah yeah Yes Right!  you're on lad Ok, lads (right!) We're on Ok BoysEmbed"
Stranger in My Arms,You're a stranger in my arms When i saw you standing there Without a wooly ho i hair You're a stranger in my arms You're a stranger in my arms I want it so much And me on a road somewhere You're a stranger in my arms When the lights are very low And the sky is on the celing And there's no one there to know Oh its gone offEmbed
Strawberry Fields Forever," Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever  Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone, but it all works out It doesn't matter much to me Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever No one I think is in my tree I mean, it must be high or low That is, you can't, you know, tune in, but it's all right That is, I think it's not too bad Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever  Always, no, sometimes think it's me But you know, I know when it's a dream I think I know, I mean—er—yes, but it's all wrong That is, I think I disagree  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields forever  Cranberry sauce47Embed"
Strawberry Fields Forever (Demo Sequence)," No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in Cannot do it, I cannot do it  No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in, but it's all alright That is I think it's not too bad  Always, no, sometimes think it's me But you know I know when it's a dream I mean I think a ""no"", a ""yes"" But it's all wrong That is I think I disagree  Let me take you back, 'cause I'm going to Strawberry Fields Nothing is real, and nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields foreverEmbed"
Strawberry Fields Forever (Take 1),"Take 1!  Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone But it all works out It doesn't matter much to me  No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in But it's all right That is I think it's not too bad  Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever  Always know sometimes think it's me But you know I know when it's a dream I think I know I mean, ah yes But it's all wrong That is I think I disagree Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Strawberry fields forever Strawberry fields forever Embed"
Strawberry Fields Forever (Take 26),"One, two, three  It doesn't matter much to me  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever  No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in but it's all right That is I think it's not too bad  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever  Always, no, sometimes think it's me But you know I know when it's a dream I think, er, no, I mean, er, yes, but it's all wrong That is I think I disagree Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields forever Embed"
Strawberry Fields Forever” (Take 4)," Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever  Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone But it all works out It doesn't matter much to me  No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in But it's all right That is I think it's not too bad  Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Always know sometimes think it's me But you know I know when it's a dream I think I know I mean, ah yes But it's all wrong That is I think I disagree  Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Strawberry fields forever Strawberry fields forever Embed"
Strawberry Fields Forever (Take 7)," ""Strawberry Fields Forever"", Take 7, remix from four-track Take 6 Two, three, four  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever  Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone but it all works out It doesn't matter much to me  No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in but it's all right That is I think it's not too bad  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Always, no, sometimes think it's me But you know I know when it's a dream I think, er, no, I mean, er, yes, but it's all wrong That is I think I disagree  Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields foreverEmbed"
Strawberry Fields Forever (Take 7 & Edit Piece),"Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone But it all works out It doesn't matter much to me Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in But it's all right That is I think it's not too bad Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Always know sometimes think it's me But you know I know when it's a dream I think I know I mean, ah yes But it's all wrong That is I think I disagree Let me take you down Cause I'm going to strawberry fields Nothing is real And nothing to get hung about Strawberry fields forever Strawberry fields forever Strawberry fields foreverEmbed"
Sun King," Ah, here come the sun king Here come the sun king  Everybody's laughing (Ooh) Everybody's happy (Ooh)  Here come the sun king  Quando para mucho mi amore de felice corazón Mundo paparazzi mi amore chicka ferdy parasol Questo obrigado tanta mucho que canite carousel11Embed"
Sun King (Take 20),"Ooh, here comes the sun king Here comes the sun king Everybody is laughing Everybody is happy Here comes the sun king Quando para mucho mi amore de felice corazón Mundo paparazzi mi amore chicka ferdy parasol Cuesto obrigado tanta mucho que canite carouselEmbed"
Sure to Fall,"I'm sure to fall Fall in love I'm sure to fall in love with you You are so sweet And so near I'm sure to fall in love with you So hold me tight Let tonight be the night Darling, don't ever let me go Loving you Is the natural thing to do I want you for the rest of my life So hold me tight Let tonight be the night Darling, don't ever let me go Loving you Is the natural thing to do I want you for the rest of my lifeEmbed"
Sure To Fall (In Love With You)," I'm sure to fall, fall in love I'm sure to fall in love with you You are so sweet and so near I'm sure to fall in love with you  So hold me tight Let tonight be the night Darling don't ever let me go  Loving you is the natural thing to do I want you for the rest of my life  Embed"
"Sure to Fall (In Love with You) [Live at the BBC for “Pop Go The Beatles” / 18th June, 1963]","I'm sure to fall Fall in love I'm sure to fall in love with you You are so sweet And so near I'm sure to fall in love with you So hold me tight Let tonight be the night Darling, don't ever let me go Loving you Is the natural thing to do I want you for the rest of my life So hold me tight Let tonight be the night Darling, don't ever let me go Loving you Is the natural thing to do I want you for the rest of my lifeEmbed"
Suzy Parker,"Well come on Suzy Parker, everybody's welcome to come (Come on, Suzy Parker, come on Suzy Parker) Said come on Suzy Parker, everybody's welcome to come (Come on Suzy Parker, come on Suzy Parker) When you get on Suzy Parker everybody gets well done I said come on Suzy Parker, everybody's welcome to come (Come on Suzy Parker, come on Suzy Parker) I said come on Suzy Parker, everybody's welcome to come (Come on Suzy Parker, come on Suzy Parker) Yeah you come to Suzy Parker, everybody gets well done Go Suzy Go! (rattatatatatatatatatata...) When you get on Suzy Parker everybody gets well done Yeah come on Suzy Parker, everybody's welcome to come I said come on Suzy Parker everybody's welcome to come When you get to Suzy Parker, everybody gets well done Said go little Suzy (rattatatatatatatatata...) Said go little Suzy (rattatatatatatatatata...) Go little Suzy everybody gets well doneEmbed"
Swanee River,"Way down upon the Swanee River Far, far away That's where my heart is yearning ever Home where the old folks stay Way down upon the Swanee River Far, far away-hey Whoa, that's where my heart is yearning ever Home where the old folks stay All up and down the whole creation Sadly I roam I'm a still a-longin' for the old plantation Oh, for the old folks at home Ah-oh-oh! Oh, my my! Well, way down upon the Swanee River Far, far away-hey Whoa, that's where my heart is yearning ever Home where the old folks stay All up and down the whole creation Sadly I roam I'm still a-longin' for the old plantation And for the old folks at home All the world is sad and dreary Ev'rywhere I roam Oh, darkies, how my heart grows weary Far from the old folks at home Far from the old folks at home Far from the old folks at home Far from the old folks at homeEmbed"
Sweet Georgia Brown,"Well let me tell you well no chick made could be the same As Sweet Georgia Brown Crazy feet that dance so neat has Sweet Georgia Brown Fella’s sigh, and even cry for Sweet Georgia Brown I tell you just why you know I don’t lie It’s been said, she knocks them dead in any old town Since she came right it’s a shame how she brings them down In Liverpool she even dare to criticize the Beatles’ hair With their whole fan club standing there, I mean Sweet Georgia Brown Alright I say this group is absolutely marvelous with the piano Don’t you think so? Not too commercial boys, not too commercial! When it comes to music Sweet Georgia known to mind Don’t buy clothes at fashion shows but she still looks fine Snap chicks cry, they want to die when Georgie does the twist I never would try to tell you just why use your imagination There's a DJ crazy for her living in out home town Since she came like it’s a shame, she turns him down Records that she can get are records, they ain't sent him yet Carolina may have Dina, but that don’t have Georgia Brown Oh such Sweet Georgia Yeah yeah yeah I mean brown, oh oh oh Sweet Georgia BrownEmbed"
Sweet Little Sixteen [Live at the BBC Disk 2]," They're really rocking in Boston Philadelphia, PA Deep in the heart of Texas On down in Frisco Bay All over Saint Louis On down to New Orleans All the cats want to dance with Sweet little sixteen  Sweet little sixteen She just got to have About half a million Framed autographs Her wallet is filled with pictures She get them one by one Becomes so excited Watch and look at her run boy who Mommy mommy Please may I go It's such a sight to see Somebody steal the show Oh daddy daddy I beg of you Well please say it to mommy It's all right with you Ow! Sweet little sixteen She's got the grown-up blues Tight dresses and lipstick She's blowing high healed shoes Well by tomorrow morning She'll have to change her train Become sweet sixteen A back in class again  Yea cos they're really rocking in Boston Philadelphia, PA Deep in the heart of Texas On down in Frisco Bay All over Saint Louis On down to New Orleans All the cats want to dance with Sweet little sixteenEmbed"
Sweet Little Sixteen (Live in Germany)," They're really rockin' in Boston Philadelphia, PA Deep in the heart of Texas On down in Frisco Bay All over Saint Louis On down to New Orleans All the cats want to dance with Sweet little sixteen  Sweet little sixteen She just got to have About half a million Framed autographs Her wallet is filled with pictures She get them one by one Becomes so excited Watch and look at her run boy who Mommy mommy Please may I go It's such a sight to see Somebody steal the show Oh daddy daddy I beg of you Well please say it to mommy It's all right with you Ow! Sweet little sixteen She's got the grown-up blues Tight dresses and lipstick She's blowing high healed shoes Well by tomorrow morning She'll have to change her train Become sweet sixteen A back in class again  Yea cos they're really rocking in Boston Philadelphia, PA Deep in the heart of Texas On down in Frisco Bay All over Saint Louis On down to New Orleans All the cats want to dance with Sweet little sixteenEmbed"
Take Good Care of My Baby,My tears are falling 'cos you've taken her away And though it really hurts me so There something that I got to say: Take good care of my baby Please don't ever make her blue Just tell her that you love her Make sure you're thinking of her In everything you say and do Take good care of my baby Now don't you ever make her cry Just let your love surround her Paint rainbows all around her Don't let her see the cloudy sky Once upon a time That little girl was mine If I had been true I know she'd never been with you So take good care of my baby Be just as kind as you can be And if you should discover That you don't really love her Just send my baby back home to me Take good care of my baby Be just as kind as you can be And if you should discover That you don't really love her Just send my baby back home to me Take good care of my baby Take good care of my baby Take good care of my babyEmbed
Talkin’ ’Bout You (Live in Germany)," Let me tell you 'bout a girl I know I tell you, now, she looks so good Got so nice skin and such a beautiful lip She oughta be somewhere in Hollywood  I'm talkin' 'bout you Nobody but you Come on, baby, it's you I'm just tryna get a message to you  Let me tell you 'bout a girl I know I found her walking down an uptown street She's so fine, you know I wish she was mine I get shook up every time we meet  I'm talkin' 'bout you Nobody but you Yes, I do mean you I'm just tryna get a message to you  Let me tell you 'bout a girl I know I tell you, now, she looks so good Got so nice skin and such a beautiful lip She oughta be somewhere in Hollywood  I'm talkin' 'bout you Nobody but you Now, don't get me blue I'm just tryna get a message to youEmbed"
Taxman," One, two, three, four One, two...  (One, two, three, four)  Let me tell you how it will be There's one for you, nineteen for me 'Cause I'm the taxman Yeah, I'm the taxman  Should five percent appear too small Be thankful I don't take it all 'Cause I'm the taxman Yeah, I'm the taxman  If you drive a car, car, I'll tax the street If you try to sit, sit, I'll tax your seat If you get too cold, cold, I'll tax the heat If you take a walk, walk, I'll tax your feet Taxman   'Cause I'm the taxman Yeah, I'm the taxman Don't ask me what I want it for (Haha, Mr. Wilson) If you don't want to pay some more (Haha, Mr. Heath) 'Cause I'm the taxman Yeah, I'm the taxman  Now my advice for those who die (Taxman!) Declare the pennies on your eyes (Taxman!) Cause I'm the taxman Yeah, I'm the taxman  And you're working for no one but me (Taxman!)9Embed"
Taxman (Take 11)," One, two, three, four One, two... (One, two, three, four)  Let me tell you how it will be There's one for you, nineteen for me  'Cause I'm the taxman Yeah, I'm the taxman  Should five percent appear too small Be thankful I don't take it all  'Cause I'm the taxman Yeah, I'm the taxman  If you drive a car, car, I'll tax the street If you try to sit, sit, I'll tax your seat If you get too cold, cold, I'll tax the heat If you take a walk, walk, I'll tax your feet Taxman  'Cause I'm the taxman Yeah, I'm the taxman  Don't ask me what I want it for (Anybody got a bit of money, anybody got a bit of money, anybody got a bit of money?) If you don't want to pay some more (Anybody got a bit of money, anybody got a bit of money, anybody got a bit of money?)  'Cause I'm the taxman Yeah, I'm the taxman  Now my advice for those who die (Taxman!) Declare the pennies on your eyes (Taxman!)  Cause I'm the taxman Yeah, I'm the taxman And you're working for no one but me (Taxman!)Embed"
Teddy Boy (Savile Row Sessions)," This is the story About a boy named Ted If his mother said (Said) ""Ted, be good (Be good, Ted),"" he would (Alright) She told him tales About his soldier dad But it made her sad Then she cried, oh my  Ted used to tell her He'd be twice as good And he knew he could Because in his head he said ""Mummy don't worry Your mblmblmbl's here Taking good care of you Mama don't worry Your Teddy boy's here Teddy's going to see you through""  And she said ""Teddy don't worry Your mummy's here Taking good care of you"" She said, ""Teddy don't worry Your mummy's here Teddy's going to see you through"" He said, ""Ta da da""  Then came the day She found herself a man Teddy turned and ran Oh far away, oh yeah He couldn't stand Just to be around So he left the town far away, yeah yeah     Take your partners And do-si-do Hold them tight And don't let go When you've got it. Jump up Take your partners And do-si-do When you got it Then let it go Hold them tight then Now Ted used to tell her He'd be twice as good And he knew he could Because in his head, he saidEmbed"
Tell Me What You See," If you let me take your heart I will prove to you We will never be apart if I'm part of you Open up your eyes now, tell me what you see It is no surprise now, what you see is me  Big and black the clouds may be, time will pass away If you put your trust in me I'll make bright your day Look into these eyes now, tell me what you see Don't you realise now, what you see is me Tell me what you see  Listen to me one more time, how can I get through? Can't you try to see that I'm trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me Tell me what you see  Listen to me one more time, how can I get through? Can't you try to see that I'm trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me Hmm3Embed"
Tell Me Why," Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me  Well I gave you everything I had But you left me sitting on my own Did you have to treat me, oh, so bad All I do is hang my head and moan  Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me  If there's something I have said or done Tell me what and I'll apologize If you don't, I really can't go on Holding back these tears in my eyes  Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me  Well I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do 'Cause I really can't stand it, I'm so in love with you Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me3Embed"
Tell Me Why (EP),"Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me Well I gave you everything I had But you left me sitting on my own Did you have to treat me oh so bad All I do is hang my head and moan Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me If there's something I have said or done Tell me what and I'll apologise If you don't really can't go on Holding back these tears in my eyes Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me Well I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do Cos I really can't stand it, I'm so in love with you Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to meEmbed"
Thank You Girl," Oh, oh, oh you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl  I could tell the world A thing or two about our love I know little girl Only a fool would doubt our love And all I gotta do Is thank you girl, thank you girl  Thank you girl for loving me The way that you do (Way that you do) That's the kind of love That is too good to be true And all I gotta do Is thank you girl, thank you girl  Oh, oh, you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl Oh, oh, oh Oh, oh, oh Oh, ohEmbed"
"Thank You Girl (Live at the BBC for “Easy Beat” / 23rd June, 1963)"," Oh, oh, you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl  I could tell the world A thing or two about our love I know little girl Only a fool would doubt our love And all I gotta do Is thank you girl, thank you girl  Thank you girl for loving me The way that you do (Way that you do) That's the kind of love That is too good to be true And all I gotta do Is thank you girl, thank you girl  Oh, oh, you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl  Oh, oh, oh Oh, oh, oh Oh, ohEmbed"
That Means a Lot (Take 1)," A friend says that your love won't mean a lot And you know that your love is all you've got At times things are so fine, and at times they're not But when she says she loves you, that means a lot  A friend says that a love is never true But you know this can't apply to you A touch can mean so much when it's all you've got And when she says she loves you, that means a lot  Love can be deep inside Love can be suicide Can't you see you can't hide what you feel When it's real?  A friend says that your love won't mean a lot But you know that your love is all you've got A touch can mean so much when it's all you've got But when she says she loves you, that means a lot  Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeahEmbed"
"That’s All Right (Mama) [Live at the BBC for “Pop Go The Beatles” / 16th July, 1963]","Well that’s all right mama That’s all right with you Yeh that’s all right mama Just anyway you do That’s all right That’s all right That’s all right now mama Anyway you do Well mama she done told me Papa done told me too Said son, that gal you’re fooling with She ain’t no girl for you That’s all right That’s all right That’s all right now mama Anyway you do Whoa! I’m leaving town baby I’m leaving town for sure Then you won’t be bothered with me Hanging round your door That’s all right That’s all right Yeah that’s all right now mama Anyway you do Well that’s all right mama Yeah that’s all right with you That’s all right mama Just anyway you do That’s all right That’s all right That’s all right now mama Anyway you do Da da, dee dee dee dee dee Da da, dee dee dee dee Da da, dee dee dee I need your loving That’s all right Well that’s all right now mama Anyway you do Yeah that’s all right now mama Anyway you doEmbed"
That’s Alright (Mama)," Well, that's alright, Mama That's alright with you Yeah, that's alright now, Mama Just anyway you do That's alright, that's alright That's alright my Mama, anyway you do  Well Mama, she done told me Poppa done told me too Said, ""Son, that girl you're fooling with She is no girl for you"" That's alright, that's alright That's alright my Mama, anyway you do. Woh Well, I'm leaving town, baby I'm leaving town for sure Then you won't be bothered with me Hanging around your door That's alright, that's alright Yeah that's alright my Mama, anyway you do  Ya da di dididi Ya da di dididi Ya da di dididi, I need your loving That's alright, that's alright my Mama, anyway you do Yeah, that's alright my Mama, anyway you do1Embed"
The Ballad of John and Yoko," Standing in the dock at Southampton Trying to get to Holland or France The man in the mac said, ""You've got to go back"" You know they didn't even give us a chance  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Finally made the plane into Paris Honeymooning down by the Seine Peter Brown called to say, ""You can make it okay You can get married in Gibraltar, near Spain""  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Drove from Paris to the Amsterdam Hilton Talking in our beds for a week The news people said, ""Say what you doing in bed?"" I said, ""We're only trying to get us some peace"" Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Saving up your money for a rainy day Giving all your clothes to charity Last night the wife said, ""Poor boy, when you're dead You don't take nothing with you but your soul"" Think!  Made a lightning trip to Vienna Eating chocolate cake in a bag The newspaper said, ""She's gone to his head They look just like two gurus in drag""  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Caught the early plane back to London Fifty acorns tied in a sack The men from the press said, ""We wish you success It's good to have the both of you back"" Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me The way things are going They're gonna crucify me 10Embed"
The Ballad of John and Yoko (Take 7)," Mal?  Hello  Un string avec caput, Mal! We gotta get faster, Ringo!  Okay, George!  Okay?  Standing in the dock at Southampton Trying to get to Holland or France The man in the mac said, ""You've got to go back"" You know they didn't even give us a chance  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Finally made the plane into Paris Honeymooning down by the Seine Peter Brown called to say ""You can make it O.K You can get married in Gibraltar, near Spain"" Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Drove from Paris to the Amsterdam Hilton Talking in our beds for a week The news people said, ""Say what you doing in bed?"" I said, ""We're only trying to get us some peace""  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Saving up your money for a rainy day Giving all your clothes to charity Last night the wife said ""Poor boy, when you're dead You don't take nothing with you But your soul - think!"" Made a lightning trip to Vienna Eating chocolate cake in a bag The newspaper said, ""She's gone to his head They look just like two gurus in drag""  Christ you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me  Caught the early plane back to London Fifty acorns tied in a sack The men from the press said, ""We wish you success It's good to have the both of you back""  Christ, you know it ain't easy You know how hard it can be The way things are going They're gonna crucify me The way things are going They're gonna crucify me! Da da da Da da da  Yeah, we'll have him, we'll have him! Embed"
The Beatles’ 1968 Christmas Record,"(R): Hello, this is a big ""Hi"" and a sincere Merry Christmas from yours truly, Ringo Starr [slightly sped-up sample of ""Ob-La-Di Ob-La-Da"" intro With piano plunking over it] (P): (Singing) Happy New Year, happy Christmas Happy Easter, happy autumn Happy Michelmas, ev'rybody Happy Christmas, ev'rybody to you I'd like to wish ev'rybody happy Christmas This year of 1968 going on 69 Happy Christmas, happy New Year All the best to you from here  Ah - haaa! I'd like to wish ev'rybody Happy Christmas, happy New Year From there to here Happy New Year, happy New Year Happy New Year, happy New Year   When I get to the bottom I go back to the top of the slide Where I stop and I turn and I go for a ride Till I get to the bottom and I see you again (over ""Believe Me, If All Those Endearing Young Charms"" played on piano) (J): Wonsaponatime, there were two balloons called Jock and Yono. They were strictly in love, bound to happen In a million years. They were together man. Unfortunatimetable, they seemed to have previous experience which Kept calling them one way oranother (you know howitis) But they battled on against overwhelming oddities Including some of there beast friends. Being in love They cloong together even more man. But some of the Poisonessmonsters of outrated buslodedapethrowers did Stick slightly, and they occasionally had to resort to The dry cleaners. Luckily this did not kill them and They weren't banned form the Olympic Games. They lived Hopefully ever after and who could blame them  (G): Well, here we are again, another fab Christmas. Christmas Time is here again. Ain't been around since last year And we'd like to take this opportunity, all the way from America, to say happy Christmas to you our faithful Beloved fans all over the world who have made our life Worth living. And over here I have Mr. Malcolm Evans who Through thick and thin would surely like to say a word Of greeting at this festive occasion (M): Merry Christmas children everywhere!  (?): At the first stroke, it will be ... (R): ... Ringo Starr. Thank you! ""Good evening."" ""Hello me dear. I didn't know you were coming."" ""I'm not surprised."" ""Well, I am! Certainly am!"" ""I would have thought so myself."" ""Well, if you ask me, I think it's insane."" ""Occasionally."" ""Yes, me, too. Twice a week sometimes."" ""Fourteen and six."" ""Nineteen and five to save me if you don't mind."" ""Yes, I know."" ""Don't you say yes to me! I'm telling you!"" ""This is a private line, you know."" ""Private line? I've been on this line for two years."" (R): Well, it's my proud pleasure tonight to introduce one of The most versatile performers in our career. And he's Come all the way from Stokely Carmichel's -on-Sea And I hope you're going to like him. Let's give him a Big hand ... (YAY!!!) (P): (Double-Tracked Singing) Happy New Year, happy Christmas Happy Easter, happy autumn Happy Michelmas, ev'rybody Happy Christmas, ev'rybody to you  (J): Once upon a pool table there lived a short-haired Butcher's boy by the way of Ostergrad. It comes in Sentencesspoolararrowic Airport. Her father was in a Long story cut short in the middle of his life sentence We're indebted to the Colloquial office for its immediate Disposal of her honorwitz, including, I might add, hoc virtallo a totem. On the other handbag, I mean to say L'amoure ne soome tu joure realistic, strictly speaking For this film is about an hourglass houseboat. The full Meaning of Winchester Cathedral defies description. Their Loss was our Gainsborough nil (J (Double Tracked)): The sound of a manservantile defectively lasting barred Up in a love-dizzy gar-di-dell time. How close can you Gettysburg and ever underly council ya originally a Birdbath feeling-- (G): Cut! We have a special guest here this evening, Mr Tiny Tim. I'd like to ask him to say a few words (T): Oh, hello to you nice Beatles. Ah, it's so wonderful What a thrill it is talking here. Ah, in Mr. Harrison's Presence, Mr. Weiss' presence, and all his nice wonderful Friends. And the thing is, I just wanna say Merry Christmas to you all. And, ah, a Happy New Year (G): Thank you, Tiny. Would you like to sing us a little song? (T): Ah, I'd love to. Here's a song I did in 1966 in front of Miss Jill for the first time. And I did this in Albert Hall, and what a thrill it was, ah, to do this then, and Now ... exactly the way I did it then (Singing) He's a, ooh, real nowhere man Living in his nowhere land Making all his nowhere plans for nobody Hasn't got a point of view Knows not where he's going to Isn't he a bit like you and me? Nowhere man, (yes?) Don't worry Take your time, don't hurry Nowhere man, the world's at your command, ooh He's a, huh huh, real nowhere man Living in his nowhere land Making all his nowhere plans for nobody, ooh, ooh (G): Thank you, Tiny. Thank you and God bless you, Tiny (T): God bless you all. Oh, God bless you allEmbed"
